후보,선거일,선거,선거구분,구분1,구분2,기호,정당,당락
이세진,1967.05.03,6대,대통령선거,전국,전국,기호 1번,정의당,낙선
전진한,1967.05.03,6대,대통령선거,전국,전국,기호 2번,한국독립당,낙선
윤보선,1967.05.03,6대,대통령선거,전국,전국,기호 3번,신민당,낙선
서민호,1967.05.03,6대,대통령선거,전국,전국,기호 4번,대중당,낙선
김준연,1967.05.03,6대,대통령선거,전국,전국,기호 5번,민중당,낙선
박정희,1967.05.03,6대,대통령선거,전국,전국,기호 6번,민주공화당,당선
오재영,1967.05.03,6대,대통령선거,전국,전국,기호 7번,통한당,낙선
김종철,1981.02.25,12대,대통령선거,전국,전국,기호 1번,국민당,낙선
김의택,1981.02.25,12대,대통령선거,전국,전국,기호 2번,민권당,낙선
유치송,1981.02.25,12대,대통령선거,전국,전국,기호 3번,민주한국당,낙선
전두환,1981.02.25,12대,대통령선거,전국,전국,기호 4번,민주정의당,당선
노태우,1987.12.16,13대,대통령선거,전국,전국,기호 1번,민주정의당,당선
김영삼,1987.12.16,13대,대통령선거,전국,전국,기호 2번,통일민주당,낙선
김대중,1987.12.16,13대,대통령선거,전국,전국,기호 3번,평화민주당,낙선
김종필,1987.12.16,13대,대통령선거,전국,전국,기호 4번,신민주공화당,낙선
홍숙자,1987.12.16,13대,대통령선거,전국,전국,기호 5번,사회민주당,낙선
김선적,1987.12.16,13대,대통령선거,전국,전국,기호 6번,일체민주당,낙선
신정일,1987.12.16,13대,대통령선거,전국,전국,기호 7번,한주의통일한국당,낙선
백기완,1987.12.16,13대,대통령선거,전국,전국,기호 8번,무소속,낙선
김영삼,1992.12.18,14대,대통령선거,전국,전국,기호 1번,민주자유당,당선
김대중,1992.12.18,14대,대통령선거,전국,전국,기호 2번,민주당,낙선
정주영,1992.12.18,14대,대통령선거,전국,전국,기호 3번,통일국민당,낙선
이종찬,1992.12.18,14대,대통령선거,전국,전국,기호 4번,새한국당,낙선
박찬종,1992.12.18,14대,대통령선거,전국,전국,기호 5번,신정치개혁당,낙선
이병호,1992.12.18,14대,대통령선거,전국,전국,기호 6번,대한정의당,낙선
김옥선,1992.12.18,14대,대통령선거,전국,전국,기호 7번,무소속,낙선
백기완,1992.12.18,14대,대통령선거,전국,전국,기호 8번,무소속,낙선
이회창,1997.12.18,15대,대통령선거,전국,전국,기호 1번,한나라당,낙선
김대중,1997.12.18,15대,대통령선거,전국,전국,기호 2번,새정치국민회의,당선
이인제,1997.12.18,15대,대통령선거,전국,전국,기호 3번,국민신당,낙선
권영길,1997.12.18,15대,대통령선거,전국,전국,기호 4번,국민승리21,낙선
허경영,1997.12.18,15대,대통령선거,전국,전국,기호 5번,공화당,낙선
김한식,1997.12.18,15대,대통령선거,전국,전국,기호 6번,바른나라정치연합,낙선
신정일,1997.12.18,15대,대통령선거,전국,전국,기호 7번,통일한국당,낙선
이회창,2002.12.19,16대,대통령선거,전국,전국,기호 1번,한나라당,낙선
노무현,2002.12.19,16대,대통령선거,전국,전국,기호 2번,새천년민주당,당선
이한동,2002.12.19,16대,대통령선거,전국,전국,기호 3번,하나로국민연합,낙선
권영길,2002.12.19,16대,대통령선거,전국,전국,기호 4번,민주노동당,낙선
김영규,2002.12.19,16대,대통령선거,전국,전국,기호 5번,사회당,낙선
김길수,2002.12.19,16대,대통령선거,전국,전국,기호 6번,호국당,낙선
장세동,2002.12.19,16대,대통령선거,전국,전국,기호 7번,무소속,낙선
정동영,2007.12.19,17대,대통령선거,전국,전국,기호 1번,대통합민주신당,낙선
금민,2007.12.19,17대,대통령선거,전국,전국,기호 10번,한국사회당,낙선
이수성,2007.12.19,17대,대통령선거,전국,전국,기호 11번,국민연대,낙선
이회창,2007.12.19,17대,대통령선거,전국,전국,기호 12번,무소속,낙선
이명박,2007.12.19,17대,대통령선거,전국,전국,기호 2번,한나라당,당선
권영길,2007.12.19,17대,대통령선거,전국,전국,기호 3번,민주노동당,낙선
이인제,2007.12.19,17대,대통령선거,전국,전국,기호 4번,민주당,낙선
심대평,2007.12.19,17대,대통령선거,전국,전국,기호 5번,국민중심당,낙선
문국현,2007.12.19,17대,대통령선거,전국,전국,기호 6번,창조한국당,낙선
정근모,2007.12.19,17대,대통령선거,전국,전국,기호 7번,참주인연합,낙선
허경영,2007.12.19,17대,대통령선거,전국,전국,기호 8번,경제공화당,낙선
전관,2007.12.19,17대,대통령선거,전국,전국,기호 9번,새시대참사람연합,낙선
박근혜,2012.12.19,18대,대통령선거,전국,전국,기호 1번,새누리당,당선
문재인,2012.12.19,18대,대통령선거,전국,전국,기호 2번,민주통합당,낙선
이정희,2012.12.19,18대,대통령선거,전국,전국,기호 3번,통합진보당,낙선
박종선,2012.12.19,18대,대통령선거,전국,전국,기호 4번,무소속,낙선
김소연,2012.12.19,18대,대통령선거,전국,전국,기호 5번,무소속,낙선
강지원,2012.12.19,18대,대통령선거,전국,전국,기호 6번,무소속,낙선
김순자,2012.12.19,18대,대통령선거,전국,전국,기호 7번,무소속,낙선
문재인,2017.05.09,19대,대통령선거,전국,전국,기호 1번,더불어민주당,당선
김선동,2017.05.09,19대,대통령선거,전국,전국,기호 10번,민중연합당,낙선
이경희,2017.05.09,19대,대통령선거,전국,전국,기호 12번,한국국민당,낙선
윤홍식,2017.05.09,19대,대통령선거,전국,전국,기호 14번,홍익당,낙선
김민찬,2017.05.09,19대,대통령선거,전국,전국,기호 15번,무소속,낙선
홍준표,2017.05.09,19대,대통령선거,전국,전국,기호 2번,자유한국당,낙선
안철수,2017.05.09,19대,대통령선거,전국,전국,기호 3번,국민의당,낙선
유승민,2017.05.09,19대,대통령선거,전국,전국,기호 4번,바른정당,낙선
심상정,2017.05.09,19대,대통령선거,전국,전국,기호 5번,정의당,낙선
조원진,2017.05.09,19대,대통령선거,전국,전국,기호 6번,새누리당,낙선
오영국,2017.05.09,19대,대통령선거,전국,전국,기호 7번,경제애국당,낙선
장성민,2017.05.09,19대,대통령선거,전국,전국,기호 8번,국민대통합당,낙선
이재오,2017.05.09,19대,대통령선거,전국,전국,기호 9번,늘푸른한국당,낙선
